700  [main] ERROR wdsr.exercise4.Main [] - Broker: localhost - Client: RAFZZ already connected from tcp://127.0.0.1:63761
774837 [main] INFO  wdsr.exercise4.Main [] - message 'test_164'
774837 [main] INFO  wdsr.exercise4.Main [] - message 'test_165'
774837 [main] INFO  wdsr.exercise4.Main [] - message 'test_166'
774837 [main] INFO  wdsr.exercise4.Main [] - message 'test_167'
774837 [main] INFO  wdsr.exercise4.Main [] - message 'test_168'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_169'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_170'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_171'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_172'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_173'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_174'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_175'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_176'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_177'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_178'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_179'
774838 [main] INFO  wdsr.exercise4.Main [] - message 'test_180'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_181'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_182'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_183'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_184'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_185'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_186'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_187'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_188'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_189'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_190'
774839 [main] INFO  wdsr.exercise4.Main [] - message 'test_191'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_192'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_193'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_194'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_195'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_196'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_197'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_198'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_199'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_200'
774840 [main] INFO  wdsr.exercise4.Main [] - message 'test_201'
